approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.0,0.7368244671439522,0.7433992674663089,0.0,0.7766003969455377,0.7835301241295791,0.0,0.700924506246869,0.7071789655852929
algorithm_gradient_boosting,0.253781075076417,0.2540413900575442,0.25417154754810783,0.8897508442091814,0.8906635027836086,0.8911198320708223,0.14799690313178387,0.14814871039727961,0.14822461403002749
algorithm_hmm-gem,0.006288103624043988,0.8007596794802795,0.8094576909073917,0.006628198442205138,0.8440691082213213,0.8532375553050822,0.0059812062605316295,0.7616777738982587,0.7699512698677758
algorithm_hsw,0.7758881723377048,0.7974846797274593,0.8058957823829646,0.8213595196906482,0.8442217021132254,0.8531257420033241,0.7351874060692545,0.7556510254580784,0.7636209068966041
asw,0.7708042546548831,0.7948532832281452,0.8032760584122429,0.8172447226521968,0.8427426899590059,0.8516729320110905,0.7293580070742186,0.7521139161720279,0.7600837976105537
sspe,0.795291269045491,0.8028577344707264,0.8113162463460947,0.8365476449791391,0.8445066268996834,0.8534039308992811,0.7579129537139647,0.7651237988250118,0.7731847646228348
temporal-dbscan,0.7152609174969762,0.7322244993982848,0.741636449579587,0.743912637119386,0.7615557413875088,0.7713447128076475,0.6887343828275622,0.7050688445949023,0.7141317383449972
temporal-dbscan-sweep,0.7297333938938724,0.7529089009079323,0.763037219527291,0.7686918243220539,0.7931046070096441,0.8037736483080749,0.6945334203694988,0.7165910160460279,0.7262307774050066
ti_baseline,0.005007620242281176,0.6541559898348048,0.659699542733028,0.005584088150154076,0.7294612008590905,0.7356429171724718,0.004539037238322226,0.5929439982997586,0.5979688187876672
ti_dropout_filter,0.005012237185263636,0.6545076607947449,0.6600563247569269,0.005595583419107326,0.7306821371760083,0.7368765790212407,0.004539037238322226,0.592716287401515,0.5977411078894236
Trackintel_Hyperband_Search ,0.0011548564471364233,0.7709236411639933,0.7778039833918904,0.001243737518831237,0.8302561048243002,0.8376659776477595,0.001077831585019659,0.7195057155435459,0.7259271628740152
