approach,f1,f1,f1,f1,precision,precision,precision,precision,recall,recall,recall,recall
,r 0.0001,r 0.0005,r 0.001,r 0.01,r 0.0001,r 0.0005,r 0.001,r 0.01,r 0.0001,r 0.0005,r 0.001,r 0.01
algorithm_centroid_sliding_window,0.31799503148651265,0.5123911899179164,0.6271853582995692,0.676656876212015,0.2832783539407172,0.4564515746256259,0.558713244891663,0.6027837767282911,0.36240948491794817,0.5839570081824116,0.7147845095866289,0.7711657279917417
algorithm_gradient_boosting,0.31703722522997485,0.3227544149136237,0.3227544149136237,0.3227544149136237,0.9719560645010517,0.9894835241878943,0.9894835241878943,0.9894835241878943,0.1894099251590181,0.19282558863267196,0.19282558863267196,0.19282558863267196
algorithm_hmm-gem,0.9161694218418165,0.9368618273527682,0.9368618273527682,0.9368618273527682,0.9082893205621699,0.9288037477993615,0.9288037477993615,0.9288037477993615,0.9241874516114341,0.9450609506170965,0.9450609506170965,0.9450609506170965
algorithm_hsw,0.8660187594799442,0.8991020684269155,0.8991020684269155,0.8991020684269155,0.878823400697082,0.9123958675231709,0.9123958675231709,0.9123958675231709,0.8535818924293717,0.8861900930578538,0.8861900930578538,0.8861900930578538
asw,0.6722001664353889,0.6881443298470558,0.6883684445938061,0.6884324773785919,0.7109527115114369,0.7278160608164164,0.7280530958468077,0.7281208201412052,0.6374538885431057,0.6525738921864801,0.6527864223581741,0.6528471452643724
sspe,0.9650397691208793,0.983512205497839,0.983512205497839,0.983512205497839,0.9705218552807333,0.9890992277340211,0.9890992277340211,0.9890992277340211,0.9596192673781367,0.9779879465031196,0.9779879465031196,0.9779879465031196
temporal-dbscan,0.9026685171219273,0.9189721385346686,0.9189875472173847,0.9189875472173847,0.9166040923596771,0.9335773731305925,0.93359301670734,0.93359301670734,0.8891503347350204,0.9048168445341794,0.904832025260729,0.904832025260729
temporal-dbscan-sweep,0.9124144397153989,0.9279325650932663,0.9279481024537007,0.9279481024537007,0.9344301420865885,0.9504844945822527,0.9505004057343792,0.9505004057343792,0.8914122629909067,0.9064260015484341,0.9064411822749837,0.9064411822749837
ti_baseline,0.014557109569181537,0.01916762354561911,0.019169802427460525,0.019176182689597133,0.007841282397664868,0.010324765941065387,0.010325939610036748,0.010329460616950831,0.10142243407769495,0.1335448514565907,0.13356003218314028,0.13359039363623942
ti_dropout_filter,0.014557109569181537,0.01916762354561911,0.019169802427460525,0.019176182689597133,0.007841282397664868,0.010324765941065387,0.010325939610036748,0.010329460616950831,0.10142243407769495,0.1335448514565907,0.13356003218314028,0.13359039363623942
Trackintel_Hyperband_Search ,0.9322654251479396,0.9498614067096786,0.9498614067096786,0.9498614067096786,0.9405330243337195,0.9582850521436849,0.9582850521436849,0.9582850521436849,0.9241419094317854,0.9415845642372443,0.9415845642372443,0.9415845642372443
